hour,AUC,Accuracy,Acc_class_0,Acc_class_1,Acc_class_2
6,0.6010509860509861,0.25256410256410255,0.06666666666666667,0.3466666666666667,0.6
7,0.6335564567707426,0.4638095238095238,0.5238095238095238,0.46190476190476193,0.4
8,0.7495149911816579,0.5433333333333333,0.6285714285714284,0.43809523809523804,0.6
9,0.7393795093795094,0.5294117647058824,0.5,0.5142857142857142,0.6666666666666666
10,0.7670600613982966,0.5857894736842105,0.6533333333333333,0.525,0.5333333333333333
11,0.7712301376336463,0.5662337662337662,0.7066666666666667,0.41666666666666663,0.55
12,0.7837185377974851,0.5594202898550724,0.6755555555555557,0.4,0.6833333333333333
13,0.7913492063492064,0.6,0.7963636363636363,0.40909090909090917,0.5666666666666667
14,0.7816300688039819,0.582905982905983,0.7090909090909091,0.44696969696969696,0.6
15,0.7922750699499421,0.5559113300492611,0.6564102564102564,0.44848484848484843,0.54
16,0.7990341148951572,0.6333333333333333,0.7428571428571429,0.43636363636363634,0.8
17,0.7582367631413038,0.5181818181818182,0.6647619047619048,0.27692307692307694,0.72
18,0.764255352990985,0.5597147950089126,0.72,0.37252747252747254,0.5666666666666667
19,0.7996890093169585,0.6566386554621848,0.78,0.5659340659340659,0.5333333333333333
20,0.7462642533796555,0.6121621621621621,0.7970588235294117,0.4142857142857143,0.56
21,0.797548600999327,0.5978662873399716,0.7727941176470587,0.3980952380952381,0.6047619047619046
22,0.7503389915474316,0.5518218623481781,0.6686274509803921,0.3333333333333333,0.761904761904762
23,0.7700375567113098,0.5976923076923077,0.823529411764706,0.39416666666666667,0.5047619047619047
24,0.7746743812808391,0.6389024390243903,0.8627450980392158,0.425,0.5714285714285714
25,0.7800660170853584,0.6135365853658536,0.8509803921568627,0.4125,0.48571428571428577
26,0.8163871619464651,0.5956097560975608,0.681045751633987,0.4375,0.7428571428571429
27,0.7754957812432541,0.5991869918699188,0.8405228758169935,0.33529411764705885,0.6
28,0.7753573561469677,0.5943089430894309,0.7189542483660132,0.3625,0.8285714285714285
29,0.8067620478638625,0.6030197444831592,0.7999999999999999,0.3639705882352941,0.6678571428571429
30,0.7769834630508374,0.5964562569213732,0.768421052631579,0.46339869281045754,0.475
31,0.8063952729989883,0.6093023255813954,0.7403508771929824,0.4522875816993464,0.6571428571428571
32,0.7916604356542437,0.6093023255813954,0.739766081871345,0.46601307189542485,0.6285714285714286
33,0.8161180126871562,0.6249471458773785,0.8157894736842106,0.45294117647058824,0.5321428571428571
34,0.80079783745857,0.6342494714587739,0.7748538011695907,0.5006535947712418,0.5928571428571429
35,0.8066688370204883,0.6176532769556025,0.7970760233918128,0.40784313725490196,0.6535714285714286
36,0.8245061239070527,0.6587737843551797,0.7730994152046784,0.5091503267973856,0.7
37,0.7664515549809667,0.571353065539112,0.7216374269005847,0.4196078431372549,0.5428571428571428
38,0.7923602401974436,0.6009513742071881,0.7964912280701755,0.4150326797385621,0.5571428571428572
39,0.7785222542908301,0.6299154334038055,0.7766081871345031,0.4398692810457517,0.7178571428571429
40,0.7925069452582352,0.6252642706131079,0.7327485380116959,0.530718954248366,0.5892857142857142
41,0.8095880628404709,0.6021212121212121,0.7532163742690058,0.3549019607843137,0.7805555555555556
42,0.787176699478901,0.6281818181818182,0.7426900584795322,0.5117647058823529,0.625
43,0.7973618678727037,0.6044444444444445,0.7116959064327485,0.46339869281045754,0.6611111111111111
44,0.7987532493122449,0.6522705314009662,0.7859649122807018,0.5287581699346404,0.6222222222222222
45,0.7861190764699537,0.6066666666666667,0.787719298245614,0.4333333333333334,0.5777777777777778
46,0.796971003306286,0.6551690821256038,0.7777777777777778,0.5222222222222221,0.6666666666666666
47,0.807882938633426,0.6548792270531401,0.7970760233918129,0.5222222222222221,0.6222222222222222
48,0.8252542513129326,0.6853839037927844,0.8421052631578947,0.5052631578947369,0.72
49,0.8008716719485021,0.6438482886216466,0.7157894736842105,0.6046783625730995,0.5822222222222223
50,0.8138900446553199,0.6580943570767808,0.6736842105263158,0.6157894736842106,0.7133333333333333
51,0.8341822256099327,0.6580018501387604,0.7789473684210526,0.5701754385964912,0.5844444444444445
52,0.8146702912401642,0.6308510638297873,0.6736842105263159,0.5935672514619883,0.6200000000000001
53,0.823804512316309,0.6796099290780142,0.7684210526315789,0.5760233918128655,0.7
54,0.8509769946249074,0.712854609929078,0.7894736842105263,0.6187134502923977,0.74
55,0.8570057327226109,0.6750886524822695,0.7263157894736842,0.6169590643274855,0.6799999999999999
56,0.8537967705844294,0.7042553191489361,0.8315789473684211,0.5953216374269006,0.6599999999999999
57,0.8439803626388624,0.7028368794326241,0.7494736842105263,0.660233918128655,0.6872727272727273
58,0.8586845476183044,0.7236702127659574,0.8215789473684211,0.6719298245614034,0.6236363636363637
59,0.8664422679803805,0.7323581560283688,0.8115789473684212,0.6409356725146199,0.7418181818181818
60,0.8723633459159774,0.6946808510638298,0.6773684210526316,0.7035087719298245,0.7054545454545454
61,0.8955969346441215,0.7617021276595745,0.7915789473684212,0.7491228070175439,0.7272727272727272
62,0.8856827697269318,0.736436170212766,0.7694736842105263,0.716374269005848,0.7036363636363637
63,0.8866867338540055,0.7458333333333333,0.7826315789473683,0.6842105263157896,0.7836363636363636
64,0.8906842870439362,0.7625,0.8121052631578947,0.7491228070175439,0.6890909090909091
65,0.9036063775885312,0.7791666666666666,0.843157894736842,0.7380116959064328,0.7254545454545454
66,0.9049934234522862,0.7625,0.8331578947368421,0.7280701754385965,0.6890909090909092
67,0.9038774306318166,0.7541666666666667,0.8636842105263158,0.7391812865497076,0.5709090909090909
68,0.9042561185528518,0.7666666666666667,0.8115789473684212,0.7818713450292398,0.6527272727272727
69,0.9114036933123444,0.7791666666666667,0.8126315789473685,0.7602339181286549,0.7454545454545455
70,0.912785490194746,0.7625,0.7068421052631578,0.7941520467836257,0.8018181818181818
71,0.8831847560235339,0.7500000000000001,0.7494736842105263,0.7707602339181288,0.7109090909090909
72,0.8910903049560037,0.7458333333333333,0.7705263157894737,0.7391812865497076,0.7072727272727273
73,0.8905587103983958,0.7583333333333333,0.8536842105263158,0.6865497076023391,0.7109090909090909
74,0.8813828265023063,0.7291666666666667,0.78,0.7286549707602339,0.630909090909091
75,0.9069227430736808,0.7416666666666667,0.7168421052631578,0.7713450292397661,0.7254545454545455
76,0.8956086275581132,0.7375,0.76,0.7280701754385964,0.7090909090909091
77,0.879274336659394,0.7208333333333334,0.77,0.7046783625730993,0.649090909090909
78,0.8914363705516155,0.7166666666666667,0.6968421052631579,0.6538011695906433,0.86
79,0.8820476378083759,0.7375,0.7805263157894736,0.7175438596491228,0.6890909090909091
80,0.8885514452196241,0.7666666666666667,0.8026315789473685,0.7391812865497076,0.7454545454545454
81,0.885722733717289,0.7583333333333333,0.7905263157894737,0.7614035087719297,0.6872727272727273
82,0.8902031050700139,0.7458333333333333,0.8126315789473683,0.6847953216374268,0.7272727272727273
83,0.8715058211942666,0.7166666666666666,0.8010526315789473,0.6625730994152048,0.6527272727272727
